任務編號,任務名稱,所屬模組,狀態,驗收標準
SID-DONE-024,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-025,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-026,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-027,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-028,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-029,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-030,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-031,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-032,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-033,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-034,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-035,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-036,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-037,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-038,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-039,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-040,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-041,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-042,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-043,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-044,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-045,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-046,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-047,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-048,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-049,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-050,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-051,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-052,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-053,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-054,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-055,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-056,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-057,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-058,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-059,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-060,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-061,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-062,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-063,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-064,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-065,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-066,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-067,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-068,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-069,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-070,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-071,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-072,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-073,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-074,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-075,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-076,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-077,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-078,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-079,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-080,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-081,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-082,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-083,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-084,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-085,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-086,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-087,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-088,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-089,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-090,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-091,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-092,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-093,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-094,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-095,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-096,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-097,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-098,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-099,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-DONE-100,環境初始化與路徑部署,G1_DevOps,✅ 已完成,D槽資料夾準確生成
SID-TODO-101,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-102,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-103,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-104,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-105,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-106,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-107,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-108,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-109,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-110,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-111,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-112,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-113,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-114,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-115,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-116,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-117,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-118,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-119,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-120,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-121,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-122,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-123,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-124,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-125,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-126,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-127,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-128,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-129,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-130,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-131,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-132,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-133,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-134,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-135,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-136,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-137,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-138,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-139,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-140,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-141,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-142,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-143,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-144,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-145,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-146,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-147,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-148,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-149,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-150,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-151,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-152,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-153,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-154,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-155,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-156,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-157,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-158,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-159,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-160,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-161,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-162,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-163,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-164,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-165,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-166,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-167,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-168,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-169,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-170,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-171,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-172,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-173,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-174,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-175,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-176,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-177,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-178,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-179,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-180,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-181,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-182,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-183,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-184,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-185,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-186,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-187,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-188,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-189,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-190,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-191,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-192,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-193,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-194,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-195,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-196,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-197,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-198,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-199,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-200,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-201,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-202,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-203,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-204,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-205,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-206,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-207,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-208,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-209,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-210,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-211,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-212,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-213,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-214,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-215,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-216,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-217,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-218,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-219,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-220,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-221,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-222,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-223,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-224,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-225,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-226,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-227,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-228,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-229,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-230,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-231,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-232,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-233,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-234,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-235,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-236,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-237,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-238,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-239,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-240,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-241,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-242,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-243,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-244,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-245,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-246,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-247,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-248,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-249,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-250,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-251,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-252,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-253,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-254,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-255,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-256,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-257,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-258,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-259,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-260,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-261,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-262,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-263,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-264,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-265,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-266,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-267,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-268,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-269,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-270,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-271,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-272,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-273,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-274,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-275,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-276,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-277,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-278,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-279,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-280,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-281,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-282,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-283,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-284,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-285,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-286,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-287,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-288,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-289,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-290,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-291,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-292,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-293,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-294,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-295,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-296,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-297,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-298,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-299,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
SID-TODO-300,待啟動子項目任務,待分配,⬜ 待辦,符合專案藍圖需求
